@relation textClassifier

@attribute textClassifier {btp, commercial, informatique, tourisme}
@attribute text String

@data
btp,'Entreprise spécialisée dans la conception de laboratoires sur mesure (vétérinaire école analyse médicales ...) recrute un Assistant polyvalent (H/F) en contrat de professionnalisation de un an. L entreprise souhaite avoir un renfort pour effectuer les missions suivantes (avec la possibilité de faire évoluer votre poste de travail) : Secretariat Gestion administrative Facturation Devis Gestion des bons de livraisons Relation avec les fournisseurs Gestion du courrier/ des appels. Aide au directeur Titulaire d un Bac en lien avec le secrétariat. Pigier Toulouse est un Centre de Formation certifié OPQF et qui dispense des formations en alternance du Bac au Bac + 5 (Diplômes d Etat et Titres Certifiés RNCP). Les formations Pigier vous préparent aux métiers de l Assistanat de la Comptabilité de la Banque du Commerce et de la Vente des Ressources Humaines et du Secrétariat Médical. La qualité de notre enseignement et nos partenariats avec les plus grandes entreprises de Midi Pyrénées contribuent à l insertion professionnelle de nos étudiants. De plus l offre de formation professionnelle continue (CIF CPF etc.) en bureautique techniques administratives comptabilité et gestion est un atout majeur pour répondre efficacement aux exigences du marché de l emploi local.'
btp,'Nous recherchons pour un de nos clients un conducteur de travaux H/F. Au sein d une équipe travaux vos missions seront les suivantes : Lors de la préparation du chantier : mise en place des procédés d exécution consultation des sous traitants organisation du chantier et définition du planning et du budget. En phase d exécution des travaux : vous serez en charge du suivi technique et administratif des corps d état. Vous encadrerez les équipes de l entreprise ou de sous traitants. Vous serez l interlocuteur des intervenants extérieurs (clients fournisseurs sous traitants maîtrise d œuvre). A la fin du chantier : après préparation du dossier de SAV vous assurerez la passation au service responsable de la gestion du SAV. De formation Bac+3 minimum vous savez faire preuve d organisation d adaptabilité de rigueur d anticipation et vous êtes doté de qualités relationnelles et managériales. Volontaire et pugnace vous avez aussi une bonne écoute et le sens du service. Vous avez idéalement une première expérience en conduite de travaux. AGENCE D EMPLOI PARTNAIRE BTP ORLEANS INTERIM CDD CDI (e mail caché) (téléphone caché) .......................'
btp,'Recrutons 1 ouvrier VRD/ TP avec une première expérience réussie en travaux publics et/ou une formation qualifiante/ diplomante dans les métiers du TP . Aide aux divers travaux de terrassement assainissement aide à la pose de voiries réseaux divers tuyaux canalisations enrobées. Indemnité panier repas 9.47e/jour + indemnités zone de chantier allant de 1 à 5 ( 1 à 14e jour travaillé selon zones chantiers ). Postuler par e mail à (e mail caché) CAP BEP BAC PRO Métiers des travaux publics / maçonnerie VRD / canalisation. Vous appréciez les travaux à l extérieur vous etes motivé et rigoureux dans votre travail. Intérim CDD CDI'
btp,'Recrutons 1 aide maçon / manoeuvre batiment à Valencin (38). Vous assurez divers travaux de maçonnerie traditionnelle manipulation de la bétonnière coulage du béton aide à la pose de parpaings aide au montage de murs aide à la pose de moellons. Indemnité panier repas 9.47e/jour. Salaire selon expérience / compétences. Postuler par e mail à (e mail caché) .................................................... CAP/BEP/BAC PRO Métiers de la maçonnerie et/ou une expérience récente réussie dans les métiers de la maçonnerie traditionnelle. Intérim CDD CDI'
btp,'L agence Partnaire de La Roche sur Yon recherche pour l un de ses clients un Maçon (H/F). Sur chantier vous serez en charge des missions suivantes : Pose de parpaing Divers travaux de maçonnerie Travail sur chantier neuf ou rénovation. Travail en journée normale sur une base de 39h. Nous recherchons une personne de niveau minimum N2 avec expérience significative. Vous devez faire preuve d autonomie. Taux horaire minimum 10.31€ Partnaire acteur sur le secteur de l emploi depuis 1952 vous propose une offre globale en matière de recrutement en CDD et CDI intérim conseil en gestion des ressources humaines portage salarial et formation.'
btp,'En équipe et sous la responsabilité d un ingénieur chargé d affaires vous interviendrez sur : La réalisation des schémas de principe avec sa nomenclature des implantations 2D et 3D des plans guide de charpente métallique permettant de consulter un charpentier des plans guide de génie civil permettant de consulter un sous traitant La Consultations des fournisseurs La Rédaction des demandes d’achat La Réalisation de la documentation technique à fournir aux clients De formation technicien Bac+2/3 BTP (IUT BTS AFPA LICENCE) ou équivalent vous cherchez à vous investir au sein d une équipe solide et y apporterez vos connaissances et votre expertise. Une expérience sur ce type de poste au minimum 5 ans. La Maitrise d’AUTOCAD 2D/3D Une Bonne connaissance du traitement des effluents industriels (physico chimique biologique osmose inverse déminée …) et/ou d’installation d’usine La connaissance de l Anglais est souhaitée AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement en encadrement de travaux et Bureau d Etudes. Nous recherchons pour l un de nos clients une société un cabinet de Géomètre : UN DESSINATEUR VRD (H/F)'
btp,'Dans le cadre de travaux de grande ampleur vous aurez en charge sur la partie terrassement des travaux de : Analyse les appels d offres Identifier les demandes des clients Consulter les fournisseurs ?tablir les métrés Estimer et chiffré les projets Participer aux réunions .... De formation technicien Bac+4/5 Travaux Publics ou Génie civil ou équivalent alternance Vous justifiez d’une expérience de 5 ans minimum sur un poste similaire EN BUREAUX D ETUDES. (alternance compris) POSTE A POURVOIR RAPIDEMENT EN CDI pour candidat rigoureux motivé autonome. Permis B indispensable! AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement en encadrement de travaux et Bureau d Etudes. Nous recherchons pour l un de nos clients une entreprise de grande ampleur : UN CHARGE D ETUDES DE PRIX TERRASSEMENT H/F'
btp,'En équipe et sous la responsabilité d un ingénieur chargé d affaires vous travaillerez sur des projets relatifs aux ouvrages d art. Différents travaux de conception et de réhabilitation seront demandés. De formation technicien Bac+2/5 BTP (IUT BTS LICENCE MASTER) en bâtiment / génie civil vous cherchez à vous investir au sein d une équipe solide et y apporter vos connaissances et votre expertise. Autocad obligatoire pour ce poste et la maitrise de Sketchup sera un plus. Ce poste à pourvoir en CDI Poste évolutif pour candidat motivé expérimenté et souhaitant s investir dans le cadre de ce nouveau défi professionnel . AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement en Bureau d Etudes. Nous recherchons pour l un de nos clients un bureau d études un: DESSINATEUR BETON ARME'
btp,'Vous êtes en contact direct et constant avec les sinistrés et les compagnies d assurance pour qui vous établissez un rapport d expertise clair objectif en respectant les contraintes et les délais. Aussi vous recherchez les causes et origines du sinistre évaluez les dommages subis et analysez les conditions contractuelles ainsi que les responsabilités. De plus vous justifiez d une image irréprochable de qualité de probité et d efficacité. Le poste nécessite des déplacements réguliers sur l ensemble de la région Rhône Alpes et Bourgogne. Idéalement de profil Ingénieur Génie Civil Bâtiment ou équivalent Bac +4 minimum vous disposez d au moins 5 ans d expérience dans la conduite de travaux TCE et d au moins un an d expérience également à travers les métiers de travaux au sens large (conception réalisation méthode étude de prix). Vous maitrisez par conséquent la gestion et conduite de projets/chantiers. Vos qualités d analyse et de synthèse votre sens des responsabilités et votre discernement font de vous un professionnel apprécié et efficace. Vous avez le sens du service clients et de la communication ainsi que le goût du travail en équipe. Ce poste est à pourvoir en CDI à la disponibilité du candidat. Notre client est un acteur majeur dans les services de gestion des risques et de règlement des sinistres en France. Dans le cadre de son développement nous recrutons sur les régions de Lyon Saint Etienne et Montélimar des Experts Bâtiment.'
btp,'URGENT !Connectt grand ouest recherche pour l un de ses clients 1 Grutier au sol (H/F) sur Rennes(35). votre mission : Levage et élingage de petit et gros tonnage le travail est réalisé au sol votre profil : vous possédez votre CACES grue R377m en cours de validité et avez une expérience de 2 à 3 ans dans la conduite de grue .Soigné et rigoureux vous savez travailler en équipe. si cette offre vous intéresse contacter Julie au (téléphone caché) ou envoyer votre CV à rh (e mail caché) URGENT !Connectt grand ouest recherche pour l un de ses clients 1 Grutier au sol (H/F) sur Rennes(35). votre mission : Levage et élingage de petit et gros tonnage le travail est réalisé au sol votre profil : vous possédez votre CACES grue R377m en cours de validité et avez une expérience de 2 à 3 ans dans la conduite de grue .Soigné et rigoureux vous savez travailler en équipe. si cette offre vous intéresse contacter Julie au (téléphone caché) ou envoyer votre CV à rh (e mail caché) Agence de travail temporaire et de placement MULTISPECIALISTE (BTP INFORMATIQUE INDUSTRIE TERTIAIRE)'
btp,'Connectt Grand Ouest recherche pour l un de ses clients 1 COFFREUR TRADI + CACES GRUE ( H/F) pour mission sur NANTES (44). Votre mission : Vous effectuerez les travaux divers de coffrage traditionnel sur chantiers neufs. Votre profil : vous avez une expérience de 3 à 5 ans en tant que coffreur. vous possédez le CACES grue (vous effectuerez la pause déjeuner) si cette offre vous intéresse contacter Julie au (téléphone caché) ou envoyer votre CV à (e mail caché). Connectt Grand Ouest recherche pour l un de ses clients 1 COFFREUR TRADI + CACES GRUE ( H/F) pour mission sur NANTES (44). Votre mission : Vous effectuerez les travaux divers de coffrage traditionnel sur chantiers neufs. Votre profil : vous avez une expérience de 3 à 5 ans en tant que coffreur. vous possédez le CACES grue (vous effectuerez la pause déjeuner) si cette offre vous intéresse contacter Julie au (téléphone caché) ou envoyer votre CV à (e mail caché). Agence de travail temporaire et de placement MULTISPECIALISTE (BTP INFORMATIQUE INDUSTRIE TERTIAIRE)'
btp,'LTD recherche pour le compte d un grand groupe de Travaux Publics un chef de chantier TP/VRD H/F : Vous interviendrez sur des chantiers de réseaux humides type canalisation et divers VRD. Sous la responsabilité du conducteur de travaux votre rôle sera de faire et faire faire les travaux ainsi que d’organiser les équipes d’ouvrier. Vous serez en charge de : Faire les travaux demandé par le conducteur de travaux Gérer l’approvisionnement du chantier Distribuer les taches et gérer le travail des ouvriers Récupérer les informations du conducteur de travaux et les transmettre aux ouvriers Effectuer des rapports de chantier Maitrise du Pack Office et d’AutoCad souhaitée Formation de type Bac+2 à Bac+3 type BTS IUT ou DUT. Première expérience en tant que Chef de chantier obligatoire. Société incontournable sur le marché du recrutement français LTd International est un Cabinet de Recrutement et une Agence de Travail Temporaire spécialisé dans les métiers d’Ingénierie et d’encadrement de chantier BTP.'
